minecraft:stone,stone,1
minecraft:silence_armor_trim_smithing_template,silence_armor_trim_smithing_template,null
minecraft:skeleton_horse_spawn_egg,skeleton_horse_spawn_egg,null
minecraft:skull_banner_pattern,skull_banner_pattern,null
minecraft:skull_pottery_sherd,skull_pottery_sherd,null
minecraft:small_amethyst_bud,small_amethyst_bud,null
minecraft:small_dripleaf,small_dripleaf,null
minecraft:smithing_table,smithing_table,null
minecraft:smoker,smoker,null
minecraft:smooth_basalt,smooth_basalt,null
minecraft:smooth_quartz,smooth_quartz,null
minecraft:smooth_quartz_slab,smooth_quartz_slab,null
minecraft:smooth_quartz_stairs,smooth_quartz_stairs,null
minecraft:smooth_red_sandstone_slab,smooth_red_sandstone_slab,null
minecraft:smooth_red_sandstone_stairs,smooth_red_sandstone_stairs,null
minecraft:smooth_sandstone_slab,smooth_sandstone_slab,null
minecraft:smooth_sandstone_stairs,smooth_sandstone_stairs,null
minecraft:smooth_stone,smooth_stone,null
minecraft:sniffer_egg,sniffer_egg,null
minecraft:sniffer_spawn_egg,sniffer_spawn_egg,null
minecraft:snort_pottery_sherd,snort_pottery_sherd,null
minecraft:snout_armor_trim_smithing_template,snout_armor_trim_smithing_template,null
minecraft:snow,snow,null
minecraft:soul_campfire,soul_campfire,null
minecraft:soul_lantern,soul_lantern,null
minecraft:soul_soil,soul_soil,null
minecraft:soul_torch,soul_torch,null
minecraft:spire_armor_trim_smithing_template,spire_armor_trim_smithing_template,null
minecraft:splash_potion,splash_potion,null
minecraft:spore_blossom,spore_blossom,null
minecraft:spruce_button,spruce_button,null
minecraft:spruce_chest_boat,spruce_chest_boat,null
minecraft:spruce_hanging_sign,spruce_hanging_sign,null
minecraft:spruce_pressure_plate,spruce_pressure_plate,null
minecraft:spruce_sign,spruce_sign,null
minecraft:spruce_trapdoor,spruce_trapdoor,null
minecraft:spyglass,spyglass,null
minecraft:stone_brick_wall,stone_brick_wall,null
minecraft:stonecutter,stonecutter,null
minecraft:stray_spawn_egg,stray_spawn_egg,null
minecraft:strider_spawn_egg,strider_spawn_egg,null
minecraft:stripped_acacia_log,stripped_acacia_log,null
minecraft:stripped_acacia_wood,stripped_acacia_wood,null
minecraft:stripped_bamboo_block,stripped_bamboo_block,null
minecraft:stripped_birch_log,stripped_birch_log,null
minecraft:stripped_birch_wood,stripped_birch_wood,null
minecraft:stripped_cherry_log,stripped_cherry_log,null
minecraft:stripped_cherry_wood,stripped_cherry_wood,null
minecraft:stripped_crimson_hyphae,stripped_crimson_hyphae,null
minecraft:stripped_crimson_stem,stripped_crimson_stem,null
minecraft:stripped_dark_oak_log,stripped_dark_oak_log,null
minecraft:stripped_dark_oak_wood,stripped_dark_oak_wood,null
minecraft:stripped_jungle_log,stripped_jungle_log,null
minecraft:stripped_jungle_wood,stripped_jungle_wood,null
minecraft:stripped_mangrove_log,stripped_mangrove_log,null
minecraft:stripped_mangrove_wood,stripped_mangrove_wood,null
minecraft:stripped_oak_log,stripped_oak_log,null
minecraft:stripped_oak_wood,stripped_oak_wood,null
minecraft:stripped_pale_oak_log,stripped_pale_oak_log,null
minecraft:stripped_pale_oak_wood,stripped_pale_oak_wood,null
minecraft:stripped_spruce_log,stripped_spruce_log,null
minecraft:stripped_spruce_wood,stripped_spruce_wood,null
minecraft:stripped_warped_hyphae,stripped_warped_hyphae,null
minecraft:stripped_warped_stem,stripped_warped_stem,null
minecraft:suspicious_gravel,suspicious_gravel,null
minecraft:suspicious_sand,suspicious_sand,null
minecraft:suspicious_stew,suspicious_stew,null
minecraft:sweet_berries,sweet_berries,null
minecraft:tadpole_bucket,tadpole_bucket,null
minecraft:tadpole_spawn_egg,tadpole_spawn_egg,null
minecraft:tall_dry_grass,tall_dry_grass,null
minecraft:target,target,null
minecraft:test_block,test_block,null
minecraft:test_instance_block,test_instance_block,null
minecraft:tide_armor_trim_smithing_template,tide_armor_trim_smithing_template,null
minecraft:tinted_glass,tinted_glass,null
minecraft:tipped_arrow,tipped_arrow,null
minecraft:torchflower,torchflower,null
minecraft:torchflower_seeds,torchflower_seeds,null
minecraft:totem_of_undying,totem_of_undying,null
minecraft:trader_llama_spawn_egg,trader_llama_spawn_egg,null
minecraft:trial_key,trial_key,null
minecraft:trial_spawner,trial_spawner,null
minecraft:trident,trident,null
minecraft:tropical_fish_bucket,tropical_fish_bucket,null
minecraft:tropical_fish_spawn_egg,tropical_fish_spawn_egg,null
minecraft:tube_coral,tube_coral,null
minecraft:tube_coral_block,tube_coral_block,null
minecraft:tube_coral_fan,tube_coral_fan,null
minecraft:tuff,tuff,null
minecraft:tuff_brick_slab,tuff_brick_slab,null
minecraft:tuff_brick_stairs,tuff_brick_stairs,null
minecraft:tuff_brick_wall,tuff_brick_wall,null
minecraft:tuff_bricks,tuff_bricks,null
minecraft:tuff_slab,tuff_slab,null
minecraft:tuff_stairs,tuff_stairs,null
minecraft:tuff_wall,tuff_wall,null
minecraft:turtle_egg,turtle_egg,null
minecraft:turtle_helmet,turtle_helmet,null
minecraft:turtle_scute,turtle_scute,null
minecraft:turtle_spawn_egg,turtle_spawn_egg,null
minecraft:twisting_vines,twisting_vines,null
minecraft:vault,vault,null
minecraft:verdant_froglight,verdant_froglight,null
minecraft:vex_armor_trim_smithing_template,vex_armor_trim_smithing_template,null
minecraft:vex_spawn_egg,vex_spawn_egg,null
minecraft:vindicator_spawn_egg,vindicator_spawn_egg,null
minecraft:wandering_trader_spawn_egg,wandering_trader_spawn_egg,null
minecraft:ward_armor_trim_smithing_template,ward_armor_trim_smithing_template,null
minecraft:warden_spawn_egg,warden_spawn_egg,null
minecraft:warped_button,warped_button,null
minecraft:warped_door,warped_door,null
minecraft:warped_fence,warped_fence,null
minecraft:warped_fence_gate,warped_fence_gate,null
minecraft:warped_fungus,warped_fungus,null
minecraft:warped_fungus_on_a_stick,warped_fungus_on_a_stick,null
minecraft:warped_hanging_sign,warped_hanging_sign,null
minecraft:warped_hyphae,warped_hyphae,null
minecraft:warped_nylium,warped_nylium,null
minecraft:warped_planks,warped_planks,null
minecraft:warped_pressure_plate,warped_pressure_plate,null
minecraft:warped_roots,warped_roots,null
minecraft:warped_sign,warped_sign,null
minecraft:warped_slab,warped_slab,null
minecraft:warped_stairs,warped_stairs,null
minecraft:warped_stem,warped_stem,null
minecraft:warped_trapdoor,warped_trapdoor,null
minecraft:warped_wart_block,warped_wart_block,null
minecraft:waxed_chiseled_copper,waxed_chiseled_copper,null
minecraft:waxed_copper_block,waxed_copper_block,null
minecraft:waxed_copper_bulb,waxed_copper_bulb,null
minecraft:waxed_copper_door,waxed_copper_door,null
minecraft:waxed_copper_grate,waxed_copper_grate,null
minecraft:waxed_copper_trapdoor,waxed_copper_trapdoor,null
minecraft:waxed_cut_copper,waxed_cut_copper,null
minecraft:waxed_cut_copper_slab,waxed_cut_copper_slab,null
minecraft:waxed_cut_copper_stairs,waxed_cut_copper_stairs,null
minecraft:waxed_exposed_chiseled_copper,waxed_exposed_chiseled_copper,null
minecraft:waxed_exposed_copper,waxed_exposed_copper,null
minecraft:waxed_exposed_copper_bulb,waxed_exposed_copper_bulb,null
minecraft:waxed_exposed_copper_door,waxed_exposed_copper_door,null
minecraft:waxed_exposed_copper_grate,waxed_exposed_copper_grate,null
minecraft:waxed_exposed_copper_trapdoor,waxed_exposed_copper_trapdoor,null
minecraft:waxed_exposed_cut_copper,waxed_exposed_cut_copper,null
minecraft:waxed_exposed_cut_copper_slab,waxed_exposed_cut_copper_slab,null
minecraft:waxed_exposed_cut_copper_stairs,waxed_exposed_cut_copper_stairs,null
minecraft:waxed_oxidized_chiseled_copper,waxed_oxidized_chiseled_copper,null
minecraft:waxed_oxidized_copper,waxed_oxidized_copper,null
minecraft:waxed_oxidized_copper_bulb,waxed_oxidized_copper_bulb,null
minecraft:waxed_oxidized_copper_door,waxed_oxidized_copper_door,null
minecraft:waxed_oxidized_copper_grate,waxed_oxidized_copper_grate,null
minecraft:waxed_oxidized_copper_trapdoor,waxed_oxidized_copper_trapdoor,null
minecraft:waxed_oxidized_cut_copper,waxed_oxidized_cut_copper,null
minecraft:waxed_oxidized_cut_copper_slab,waxed_oxidized_cut_copper_slab,null
minecraft:waxed_oxidized_cut_copper_stairs,waxed_oxidized_cut_copper_stairs,null
minecraft:waxed_weathered_chiseled_copper,waxed_weathered_chiseled_copper,null
minecraft:waxed_weathered_copper,waxed_weathered_copper,null
minecraft:waxed_weathered_copper_bulb,waxed_weathered_copper_bulb,null
minecraft:waxed_weathered_copper_door,waxed_weathered_copper_door,null
minecraft:waxed_weathered_copper_grate,waxed_weathered_copper_grate,null
minecraft:waxed_weathered_copper_trapdoor,waxed_weathered_copper_trapdoor,null
minecraft:waxed_weathered_cut_copper,waxed_weathered_cut_copper,null
minecraft:waxed_weathered_cut_copper_slab,waxed_weathered_cut_copper_slab,null
minecraft:waxed_weathered_cut_copper_stairs,waxed_weathered_cut_copper_stairs,null
minecraft:wayfinder_armor_trim_smithing_template,wayfinder_armor_trim_smithing_template,null
minecraft:weathered_chiseled_copper,weathered_chiseled_copper,null
minecraft:weathered_copper,weathered_copper,null
minecraft:weathered_copper_bulb,weathered_copper_bulb,null
minecraft:weathered_copper_door,weathered_copper_door,null
minecraft:weathered_copper_grate,weathered_copper_grate,null
minecraft:weathered_copper_trapdoor,weathered_copper_trapdoor,null
minecraft:weathered_cut_copper,weathered_cut_copper,null
minecraft:weathered_cut_copper_slab,weathered_cut_copper_slab,null
minecraft:weathered_cut_copper_stairs,weathered_cut_copper_stairs,null
minecraft:weeping_vines,weeping_vines,null
minecraft:wheat_seeds,wheat_seeds,null
minecraft:white_bundle,white_bundle,null
minecraft:white_candle,white_candle,null
minecraft:white_glazed_terracotta,white_glazed_terracotta,null
minecraft:wild_armor_trim_smithing_template,wild_armor_trim_smithing_template,null
minecraft:wildflowers,wildflowers,null
minecraft:wind_charge,wind_charge,null
minecraft:wither_rose,wither_rose,null
minecraft:wither_skeleton_spawn_egg,wither_skeleton_spawn_egg,null
minecraft:wither_spawn_egg,wither_spawn_egg,null
minecraft:wolf_armor,wolf_armor,null
minecraft:writable_book,writable_book,null
minecraft:yellow_bundle,yellow_bundle,null
minecraft:yellow_candle,yellow_candle,null
minecraft:yellow_glazed_terracotta,yellow_glazed_terracotta,null
minecraft:zoglin_spawn_egg,zoglin_spawn_egg,null
minecraft:zombie_horse_spawn_egg,zombie_horse_spawn_egg,null
minecraft:zombie_villager_spawn_egg,zombie_villager_spawn_egg,null
minecraft:zombified_piglin_spawn_egg,zombified_piglin_spawn_egg,null
